by,category,created,desc,goal,location,shares,title,total
,,,,,,,,
564,Sports,"Created August 28, 2018","

                        TO LISTEN TO THE 24HR PODCAST, STARTING AT 12PM EST THURSDAY, ,:  ,----,Hi there, ,My name is Rembert Browne and I grew up in Atlanta, Georgia. One day in 1993, after a fly ball hit me in the face during tee ball practice, my mother took into the neighboring building (McGhee Tennis Center) to get ice. There, she met William “Coach Wink” Fulton. ,I had nothing to do that summer and Coach Wink told us about his summer camp. And just like that, 25 years ago -- The Summer of '93 -- the beginning of the rest of my life. ,I attended that camp from age 6 until I went off to college, the last few years as a camp counselor. In the 90s and 00s, Coach Wink had a dream of sending the camp, an all-black group of kids from Southwest Atlanta -- many of whom could not afford camps elsewhere -- up to the US Open. ,That dream did not come true when I was a kid, but starting five years ago the first trip finally happened. And even though the trip has become a tradition of sorts, the money has always been tight. This camp, and this man -- coach Wink -- have been responsible for the safety and happiness of thousands of black kids in Southwest Atlanta for over two decades, many of whom have gone on to college by way of tennis scholarships and a few even turning pro. ,Because of how important this camp has been to so many, I want to help out. And in that, an idea: a fundraiser to pay for next years US Open trip. ,But there's more: to get people excited about donating, I'm going to podcast for 24 straight hours, with the hopes of raising (at least) $24,000. The podcast, hosted by Anchor, begins at NOON ON THURSDAY and will conclude at NOON ON FRIDAY. I’ll have guests coming on—friends from all corners of my life—for 30 minutes segments. ,It will be very fun. It will be extremely exhausting. And I can’t wait.
                    ","
 of $24,000 goal","NEW YORK, NY",96,ADVANTAGE: KIDS,"$26,730 "
,,,,,,,,
46,Travel,"Created July 13, 2018","

                        Hello everyone,,this fundraiser aims to support the , (on foot), set to begin on ,. ,- , -,With less than 1 month to go the funds we are aiming to raise will help to cover all travel, logistical, technical expenses, including a 6 people team of support (guides/logistical/medical). As well as all the supplies and equipment necessary to withstand such an harsh environment.,The Atacama desert is 700 miles from North to South and the goal is to run an average of , (Record currently set at 20 days by the Canadian Explorer/Ultrarunner Ray Zahab).,The Atacama Desert crossing is the first chapter of the , which involves the speed record attempt of the crossings (on foot) of the ,: , (700miles across the northern region of Chile between the south bend of the Loa River and the mountains separating the Salado-Copiapo' basin)., (2500miles across Mongolia and China through one of the most unforgiving environments the planet can offer), (5000miles across the whole Northern African continent in one of the most fascinating yet grueling landscapes on earth. A fascinating journey through different ethnicities and cultures), (3000miles from Coast to Coast, straight through the South Pole on the challenge of a lifetime),- , -,The budget requested will also help to bring a crew to film and document the expedition! , ,An expedition set to raise awareness about critical environmental issues and to a higher understanding of the role we play, as humans, on this beautiful planet of ours.,- ,-,: Thank You Note,: Thank you Note + a copy of the Documentary,: all of the above + an exclusive 25x20 canvas print of the Desert action shot by renowned adventure photographer Dino Bonelli,: all of the above + a special gift from the Desert,: all of the above +  become an active part of the Documentary filmmaking, credited with the role of: ""Co-Producer"",: all of the above + become an active part of the Documentary filmmaking, credited with the role of: ""Producer"",It is a project truly dear to my heart and a dream of a lifetime in the making! Any sort of support will be highly regarded and greatly appreciated, with immense Gratitude and Love!,Michele
                    ","
 of $25,000 goal","LOS ANGELES, CA",17,Atacama Desert Crossing,"$15,530 "
,,,,,,,,
61,Sports,"Created August 4, 2018","

                        Welcome to the Zamarripa twins international travel gofundme page! ,As both Allura and Maribella continue to win at every level in the junior tennis world, national and international travel expenses are becoming a hurdle in their continued success.  ,The Zamarripa twins are champions across the board.  They are sectional, regional, national and international champions in both singles and doubles with a collection of trophies that require an additional room! ,Father Dave is coach and Mother Mitzi is head of logistics ;)  ,Here are some stats:,14's, 16's and 18's Northern California Sectional Doubles Champions,2018 USTA 16's National Easterbowl Doubles Champions ,2018 16's ITF Spring Doubles Champions ,2018 ITF  Panorama International (Victoria BC CA) 18U Doubles Champions / Allura Singles Champion,2018 ITF Seville (Edmonton Alberta CA) 18U Doubles Champions / Allura singles finalist,2018 16's National Clay Court Doubles Quarter finalists  /  Allura Singles Champion ,2018 16's Billie Jean King National Hardcourt Championships / Doubles Quarterfinalists / Bella Singles Quarterfinalist /Allura Singles Finalist,Upcoming schedule:,Eve Zimmerman International Championships /Ted Taube Tennis Center Stanford University Sept 14-16, 2018,ITF Hilton Head South Carolina Women's $15,000  Sept 2018,ITF Corpus Christi Oct, 2018,ITF Eddie Herr Florida November  2018,ITF Orange Bowl Florida December 2018,Please stay tuned for updates and thank you for becoming a part of the journey!,Allura, Maribella, Mitzi and Dave Zamarripa
                    ","
 of $15,000 goal","SAINT HELENA, CA",50,TWINternational Play!,"$22,020 "
,,,,,,,,
94,Sports,"Created September 15, 2018","

                        Join us in saying, “Thank you,” to the local icon & legend, Coach Jim Triplett, by helping to support his team, the Aptos Cabrillo Swim Club. Jim is the Thunder’s founder & former head coach of the Cabrillo Threshers. He has been coaching kids in Santa Cruz County for over 43 years!, ,Our Fundraiser is to raise funds for Aptos Cabrillo Thunder Swim Team, so that we can keep our fees low and affordable for kids in our community that want to swim on a the team, as well as offer scholarships to kids in our community in need.,Fundraising begins Wednesday, September 20, 2018, and ends Saturday, October 20, 2018 at the “Swim With Jim” Event at Cabrillo College.,The Event on Oct. 20th will be 11am-2pm  and will include: Food, 50/50 Raffle, Pay to swim relay races with coconuts, Silent Auction! Bring your suits, towels, beach chairs, cash or checkbooks!,BUSINESS DONATIONS:,$5,000.00 and up, before the deadline (10/12/18) is GOLD: Business name on banners, on website, any other promotional materials, announced by the emcee at the event, and in thank you letter to papers;,$2,500 - $4,999 is SILVER: Business name on website, announced by the emcee at the event, and in thank you letter to papers; ,$1,000 - $2,499 is BRONZE: Business name mentioned by emcee at the event and in thank you letters to papers.
                    ","
 of $100,000 goal","APTOS, CA",219,Swim With Jim,"$22,311 "
,,,,,,,,
277,Travel,"Created April 30, 2018","

                        ,Hi, my name is Mike and I am rollerblading across the country! I'll be starting on May 28th out of San Francisco, and as I introduced in the video, will be raising money for ,  along the way!, ,Admittedly, the main motivation of this trip is the adventure. I love to rollerblade and rollerblading across the country has become a dream of mine. However, with this adventure in mind, it is also a tremendous opportunity to raise money for a great cause. ,Like I said in the video above, I’ve decided to dedicate this mission to fundraising money for No Kid Hungry, a national initiative run by Share our Strength. Their main goal is to end childhood hunger across the country by making sure all kids get nutritious food.  However, one of their biggest initiatives that spoke to me is the ,, which focuses on providing breakfast to kids in school after the first bell. It's huge in helping learning rates. ,The fact that I even have the opportunity to rollerblade across the country is a culmination of all of the privilege and fortune I’ve been gifted in my life. Not all kids are as lucky, though. So, when I started looking for a charity to dedicate this trip to, I wanted to find one that focuses on giving give kids who may not have been born into as fortunate circumstances a better chance at success. I also wanted to find one that helped on a national scale to reflect my trip across the country. , , does both of those! Through this fundraiser:, For every $1 we can donate to the cause, No Kid Hungry can offer as many as 10 meals to children. ,. This includes food on the road, beverages, sunscreen, rollerblading gear, rollerblading tolls, any maintenance expenses, and some lodging expenses every now and then. If through this fundraiser the 10% I receive is way more money than I will need to assist my expenses, I will donate the excess back into the No Kid Hungry donation!, -  Simple as that. Any amount helps to this great cause! (Although if your super cool uncle has that spare million dollars hanging around, don’t be afraid to shoot him a text). Your contribution towards my trip will be greatly appreciated, too. , , - As I travel, I will be looking for some places to crash along the way. If you live in an area I will be passing through or have friends/family that live there, I would sincerely appreciate any helping hand you can lend. , (and image below)!, - Please share this journey with anyone who you may think would be interested in following along! Sharing with your friends and family helps in two ways: ,     1.) Increase exposure for the campaign, which means more money for kids!,     2.) Connect me to new friends who may be able to help on the road - I'll be looking for some backyards to sleep in! , ,I will document my journey, including the people I meet and help me out along the way, as much as I can. Here are all the best ways you can follow my trip:,1.) My website - ,, where I'll host my progress and blog updates,2.) My Instagram account (@mikeonblades),If you'd like, I'd love to hear from you too through my email. Don't hesitate to drop me a line! ,Thank you for reading through my whole spiel and appreciate any support you can lend!,  - Abe Lincoln, 16th President (no need to fact check this, he said it)
                    ","
 of $25,000 goal","DENVER, CO",475,Mike on Blades - A Trip Across USA,"$19,278 "
,,,,,,,,
302,Travel,"Created May 11, 2018","

                        

,

,
                    ","
 of $18,000 goal","SAN JOSE, CA",1.1k,Ayuda Nicaragua / SOS  Nicaragua,"$19,350 "
,,,,,,,,
27,Sports,"Created June 2, 2018","

                        Since I began playing tennis, it has always been my dream to play professional tennis. One moment that sticks out in particular is my experience x years ago at the Tennis Channel Open in Las Vegas. I got personal with the players, meeting the players, getting to know their stories. This was the moment I decided I wanted to try and play professionally.,My goals haven’t really changed since then, and now that I’ve graduated, its time to pursue that dream of playing professional tennis. I’m excited to see where this journey will take me, but I can’t do it alone. Any donation to help my dream come true would be deeply appreciated. I will keep everyone in the loop, if they’d like to know how its going. Thank you again!,-Korey,Help Korey Lovett reach his dreams!,“Korey is the best college doubles player today,” says John Roddick, UCF Coach and former touringcoach to brother, Andy Roddick. Korey and his partner were ranked as high as #3 in 2018, finally losing a fiercely contested match to the eventual NCAA Doubles Champions, UCLA.,This wasn’t Korey’s first time being ranked for doubles; he previously reached #6 as an All-American at Alabama in 2016. Success in doubles with two different partners in two different years with two different schools speaks to his doubles skills. Korey uses both size and agility to dominant a doubles match. At 6’ 4” he has a cannon for a serve and a world class forehand -- all backed up by “sick volleys,” according to Vanderbilt players observing the NCAA tennis championship.,Korey is also a force to be reckoned with in singles matches. He reached as high as #23 in 2018 afterfinishing #31 in 2017. Korey was a five-star high school recruit after winning the 2014 BB&T Atlanta OpenWild Card Challenge in singles, earning a wild card into the doubles draw.,As graduation nears, preparations begin for the two different levels of the USTA Pro Circuit: Futures ($25,000 purse) and Challengers ($50,000 purse). The Futures have a 32 slot main draw with a 64 slot qualifying draw, while the Challengers have a 32 qualifying draw. Rankings determine the entries into the Pro Circuit events, and all roads from the USTA Pro Circuit lead to the Association of Tennis Professionals (ATP).,As for doubles, there is a 16 slot main draw on the USTA Pro Circuit. Korey will pair up with main drawparticipants as well as seeking wild cards. In addition, Korey will be playing in money tournaments andtennis club pro events such as the Firehouse $12,500 Doubles where the UCF pair were runners-up in preparation for the NCAA tournament.,The USTA states that the average benefit for a tennis scholarship at a top college program is $94,000 annually. This approximation factors in the costs of coaching, training, travel, equipment and education. Looking forward, the expenses on the 40-week ATP tour start around $250,000. Fortunately, the USTA Pro Circuit is considerably less, but still not cheap. Expenses could run around $143,000 a year with coaching/training, or $60,000 without these expenses, depending upon the number of tournament weeks and provided housing. Here are the following annual expenses provided by the USTA for 20 tournaments:,Travel & Food: $60,000,Coaching & Physical/Mental Training: $83,000,Strings & Rackets: $5,000,Other Living Expenses: $30,000,Korey would like to remain in Florida with access to the USTA National Campus after summer graduation. This will give him access to good climate, competition and free coaching, effectively eliminating the $83,000.
                    ","
 of $100,000 goal","LAKE TOXAWAY, NC",44,Help Korey Lovett Turn Pro,"$21,580 "
,,,,,,,,
185,Travel,"Created June 24, 2018","

                        ,I,.,On Friday, June 22, 2018, Butch Butler passed away suddenly and unexpectedly, leaving behind Carrie, his wife of 20 years, and two sons, Mackey, 18, and Aidan, 13, who were his absolute pride and joy. ,Those of you who knew Butch, know his family was his life. Throughout the years, he spent every moment he could with his sons. Sports were always a big part of that time. Whether it was Mackey playing basketball, or Aidan playing baseball, Butch made every effort to be there. He traveled near and far to practices, games and tournaments, because nothing made him happier than watching his sons play. When he wasn’t watching them play, they were together, watching their favorite teams play. ,His tragic passing has left a gaping, irreplaceable hole in his family’s hearts and lives. His wife, Carrie, was always his biggest supporter and partner. They shared the same love and commitment to their boys, spending many weekends together at ballparks or in the stands, courtside. This time together changed somewhat when Carrie was diagnosed with Multiple Sclerosis, and was forced to take a step back and take care of herself. Without missing a beat, Butch stepped up and doubled his efforts with the boys, making sure this change didn’t impact them more than necessary. This was typical of Butch, who would do anything for anyone who needed something.,With his sudden passing, Carrie and the boys are now faced with more than the loss of a husband and father. They are now faced with the loss of their primary income. They are now faced with bills that will need to be paid, at a time when Carrie, who currently works as a Special Education Paraeducator, is not working because it’s summer and school is out. They are now faced with college tuition to be paid for Mackey, who graduated from high school earlier this month. They are now faced with unimaginable financial uncertainty. This GoFundMe page was set up with the hope of easing the burden this former family of four will now face as a family of three. Thank you for your support.
                    ","
 of $25,000 goal","GERMANTOWN, MD",277,Butler's Family Continual Support,"$15,521 "
,,,,,,,,
61,Travel,"Created September 2, 2018","

                        This fund is for Nancy Helm's retirement gift.  Nancy will be retiring from The University of Kansas Department of Pharmaceutical Chemistry after serving us for 42 years.  The Department would certainly not be where it is today without her hard work and dedication to us all. My name is Jeff Krise and I am currently a faculty member in the Department of Pharmaceutical Chemistry at The University of Kansas and work alongside Nancy .  Ron Borchardt, Val Stella and I, have initiated this campaign on behalf of the numerous Departmental alumni and friends of Nancy that have interacted with her over these many years of service to the Department.   We would be grateful if you could recognize her efforts by contributing to this fund.  The money generated from this campaign will be withdrawn by me and given to Nancy on November 5th at a reception in her honor.  She will be told to use the money for her retirement planning.    Please do not tell Nan about this fundraising effort.  Thank you!
                    ","
 of $10,000 goal","LAWRENCE, KS",0,Nancy Helm Retirement Gift,"$13,326 "
,,,,,,,,
158,Travel,"Created May 3, 2018","

                        ,A young wife, a new mother...the perfect life.  In just a few months after the birth of her baby girl,  Miranda returned to her doctor for a small lump she found during a routine self exam.  That small lump turned out to be Stage 4 Breast Cancer.  ,For the past four years, Miranda, her husband Kevin, and their baby girl Lyla Kate, along with the support of her family and friends, have battled this disease.  This battle has had many small victories, but the losses have won the war.  ,Last Monday, Miranda and Kevin were given the devastating news that she may not see Lyla start school in August.  She may never celebrate another Halloween, a family Thanksgiving, or the joys of Christmas morning.  Within three to six months, Miranda will leave this Earth and take wing above.,I received a call this morning from her husband Kevin.  With a catch in his voice and the sob of tears, he shared with me that one of the things this disease will rob them of is Miranda's wish to take her daughter to see Cinderella Castle.  She had planned from the time Lyla Kate was born to walk with her down Main Street to see the shiny balloons and watch Lyla's eyes as they saw the pages of a storybook come to life.  Her small jar of collected change and random bills, filled with as much as a working class family can spare, sits in the corner of the den, forever waiting as it collects dust, not change.,As Miranda's life reaches its end, it is our wish to leave Kevin and Lyla Kate with the memory of walking hand in hand with her down Main Street, U.S.A.  We want to give them a chance to ride Cinderella's Golden Carousel as the lights twinkle and music plays.  We want them to spin madly in the Mad Hatter's Teacups and bounce along with Winnie-the-Pooh.  As night falls, we want them to sit together, hand in hand, and watch the Happily Ever After fireworks.  ,Perhaps, for that one moment in time, Miranda's dream of finding her own lifelong dream of Happily Ever After will last forever in the eyes and hearts of husband and daughter long after she's gone.,Won't you please help us make this dream a reality?,We thank you from the bottom of our hearts.,
                    ","
 of $5,000 goal","WHITWELL, TN",588,Miranda's Wish,"$9,816 "
,,,,,,,,
251,Travel,"Created May 30, 2018","

                        ,Vasilisa Komarova had a dream like many of us in the adventure motorcycling community- to ride her bike, with all she needed to survive, up the coast of South America- through Central America and end up in Alaska. This is a famous route traveled by many road warriors every year. She was planning to be in Alaska this spring, but do to a horrible experience in Bolivia her dream was shattered. Vasilisa was physically and sexually attacked and assaulted -the details of her trauma are to disturbing for me to repeat here-but I encourage those interested to read the (above) attached news article about her tragedy (in spanish-use google translate). She ended up having to stay in Bolivia for many months to ensure a trial and conviction of her assualters. This has put an enormous financial burden on her.  From the brief interaction I have had with Vasilisa she seems like a very kind and endearing person- which is clearly evident by the many new friends who have come to her aid in Bolivia. I am hoping our motorcycle community can gather around her as well and help get her back on the road soon and fulfill her dream, while making great friends and getting support along the way.....    ,If you wish to joint the support group let me know- I will add you to the go fund me account. ,Good Luck Vasilisa!!!
                    ","
 of $10,000 goal","PARK CITY, UT",675,Suport Vasilisa's Road to Recovery,"$12,035 "
,,,,,,,,
55,Travel,"Created June 10, 2018","

                        

,
                    ","
 of $38,000 goal","NEW YORK, NY",221,PangaIberica Chefs & Sustainability,"$13,785 "
,,,,,,,,
76,Travel,"Created August 31, 2018","

                        Hi! I’m Lana Taylor, a 15 year-old high school student and aspiring filmmaker studying Cinematic Arts at Douglas Anderson School of the Arts in Jacksonville, Florida. This year I had the opportunity to create a documentary short film based on my friend Taylor Richardson (aka “Astronaut Starbright”) which I submitted to the All American High School Film Festival and the Austin Film Festival's Young Filmmaker Competition. ,GREAT NEWS!! With your donations we were able to raise enough money to attend the World Premiere of “Astronaut Starbright” on the BIG screen as an Official Selection of the , on October 6, 2018 at the AMC 25 Theater in Times Square, New York City! (It's the busiest theater in the country!!! So cool) .,At the All American High School Film Festival I won the "", "" award. SO EXCITING!! ,Now, our film is also an OFFICIAL SELECTION of the , 's Young Filmmaker Showcase!! WOOT WOOT!! This is such an amazing achievement and we're so excited... and GUESS WHAT?!,There's even better news: Taylor and I have been asked to be on the , with fellow panelists Raamla Mohamed (Scandal, HBO) and Hope Farley (Executive Producer/Co-Founder, Adolescent Content). ,If you are not familiar with film festivals, ,.,  Please donate and share our campaign to help us get there (we can't do it without you)!,Most people know Taylor as the ,  while raising money on GoFundMe to send girls to see , . Ultimately, Taylor raised over $100,000 with the help of friends, family, and celebrity donors Chris Pine, JJ Abrams, and Oprah Winfrey. , ,This is the first time I’ve done a film of this size and complexity. Although it’s a “short” film, it took no less than six months to finish the film from pre- to post-production (including filming and editing the project while making my way through the spring semester of my freshman year in high school). I am the Director, Cinematographer, and Editor of the film. For me, this project was a BEAST and I’m so glad I reached my goal of putting together a film that tells Taylor’s story of how she got where she is today. I hope that it truly does her justice!, ,I am honored and humbled to have our film be an Official Selection of the All American High School Film Festival, the Austin Film Festival (Young Filmmaker Showcase), the National Film Festival for Talented Youth, the Hollywood Independent Filmmaker Awards and Festival, and the Los Angeles International Children's Film Festival. ,The All American High School Film Festival was the first time that anything I’ve worked on has been featured on the BIG screen! It was so amazing to see it that way! I received feedback about the message of hope and inspiration in the film and I couldn't be more proud! , , ,We are asking for your help to raise funds to cover travel expenses (including lodging, meals, and airfare) and the price of tickets to attend the event., ,THIS IS HOW THE FUNDRAISING MONEY WILL BE SPENT...,• Airfare - $1,800,• Lodging - $1,600,• Tickets to the Austin Film Festival - $500,• Meals -  $800 ,• Ground Transportation -  $400 ,• Airfare - $1,708,• Lodging - $2,000,• Tickets to the All American High School Film Festival - $1,150,• Meals -  $800 ,• Ground Transportation -  $650 , ,Additional funds will go towards two things:, ,We are submitting the film to additional film festivals so we can help spread Taylor’s story of STEM advocacy and representation across the country (and hopefully the globe)! Festival entry fees range from $25-$300 on average., ,We are planning for local screenings of the Astronaut Starbright documentary in our hometown of Jacksonville, Florida. (We are ACTIVELY working on this... More information coming on this soon)! Funds raised will go towards:,• Securing a venue,• Posters,• Photo Booth,• Snacks  ,
                    ","
 of $15,000 goal","JACKSONVILLE, FL",243,Astronaut Starbright Documentary,"$14,186 "
,,,,,,,,
103,Travel,"Created July 26, 2018","

                        Hello Friends of Bazaar Cafe!,Les and Makiko are retiring from Bazaar after twenty years! ,For a very long time they have wanted to take a trip to Paris, but have lacked the funds and time to make it happen. They will now have the time and, if we make our goal, the money to make this dream a reality.  Please show Les and Makiko how much we have appreciated them and all they have done to make Bazaar the one-of-a-kind place it has been for two decades.  Give generously!,There will be a goodbye party this Saturday, August 11, from 6 pm to midnight at the cafe and we will present them with the gift then.  ,Please share the this Go Fund Me link with anyone you think might want to contribute.  Time is short!
                    ","
 of $8,000 goal","SAN FRANCISCO, CA",64,Let’s Send Makiko and Les to Paris!,"$8,265 "
,,,,,,,,
143,Travel,"Created July 3, 2018","

                        If you know us or have watched any of our videos, you know how much we love interacting with strangers.  Along the way of this crazy trip, we continue to meet people with very real needs and sometimes very solvable problems. ,100% of the money donated to this fund will be given to strangers we meet. We truly don't know where or who the money will go to but we promise to be transparent, use discretion, and truly try our best to be a blessing to others with this money. This money has been used to help various people so far, and we will continue to keep our eyes open for more people that it can benefit.,Here is a link to our Facebook Watch page, where you can find the videos that show the different ways that this fund is being used to help people:  ,One of the members of our trip, Ty Gatewood, is responsible for withdrawing the money and moving it into an account that is designated for these charitable expenses. We will post regular updates detailing these expenses.,We hope that you would consider donating and helping us spread positivity along this crazy journey!
                    ","
 of $1 goal","PRAIRIE VILLAGE, KS",425,Blessing strangers along the way,"$8,828 "
,,,,,,,,
89,Travel,"Created September 17, 2018","

                        After almost 20 years of service to Beth Am, Dean Oja is retiring. Dean is planning a special month-long trip to Australia to celebrate his retirement, and we'd like to send him there with the gratitude of the Beth Am community. If you would like, please help contribute (at any level, of course) and leave Dean a note of thanks. Beth Am has benefited greatly from his caring and concern for many years. He is part of the Beth Am family and we'd love to show him how much he is appreciated.  We also hope you'll be able to attend the service and oneg in his honor on Friday, October 12 at 6:15 pm. Thank you for your generosity! ,
                    ","
 of $7,000 goal","LOS ALTOS, CA",39,"Happy Retirement, Dean!","$7,605 "
,,,,,,,,
582,Volunteer,"Created October 12, 2018","

                        We will be feeding locals and first responders for a couple of  weeks, maybe longer, with some hot meals a couple of times a day.  We'd appreciate any help you can give the community of Mexico Beach.  They are great people that would help us if the storm landed here.
                    ","
 of $80,000 goal","SAINT SIMONS ISLAND, GA",2.4k,Feeding Mexico Beach,"$69,360 "
,,,,,,,,
39,Volunteer,"Created August 14, 2018","

                        The Ranch/ Mendo Complex fire  has hit the Lake Pillsbury Basin. We have support from numerous outlets but are struggling with ground support.,Due to lack of recources and inversion table not lifting- the air support is unable to assist. Our Volunteer Fire Dept. is seeing this till the end. We are desperate for funds.  Water Tender, Type 3 Engine/gas/gear and keeping our firefighters fed. ,Any sort of financial assistance for our Volunteer Fire Department is greatly utilized.,We trying to protect this beautiful basin of homes, forest and precious. wildlife
                    ","
 of $250,000 goal","POTTER VALLEY, CA",311,LPFPD-  Ranch Fire General Fund,"$59,215 "
,,,,,,,,
144,Volunteer,"Created October 18, 2018","

                        By donating, you can be confident 100% of proceeds will go back into the communities devastated by Hurricane Michael. We are working directly with the county officials, communities, citizens, non-profit charity organizations to assure we are helping the people most in need in areas of devastation from Hurricane Michael. We are working closely with Alaqua Refuge in helping provide homes for displaced citizens and animals. ,What we are using the money for:,-Providing meals to the communities, officials and to workers that are without food because of devastation to area. ,-House rebuilds for citizens without home insurance and those in dire need,-Help rebuild local businesses ,-Restore and rebuild childcare centers ,-Buying supplies that are needed and distributing those supplies
                    ","
 of $500,000 goal","SANTA ROSA BEACH, FL",308,Tribe Kelley Hurricane Relief,"$45,915 "
,,,,,,,,
204,Volunteer,"Created June 29, 2018","

                        Please donate to help post bond for those directly affected by the administration's zero tolerance policy in San Diego! ,In addition to the families being separated at the border, there are countless others from all over the world coming to the United States seeking an opportunity for a better future, only to be detained and charged with a federal misdemeanor for illegal entry due to the administration's zero tolerance policy. ,For those seeking relief through the immigration process, they must first be processed for their federal case. This means their immigration claim cannot be considered until their federal case has been decided or they've been able to post bond. When bond is posted, the person is then transferred to immigration and can begin their case. ,This campaign is aimed to help speed up the process for those awaiting federal prosecution in the San Diego area. After being detained, it can take weeks for a judge to give a trial date and often times pleading guilty is seen as an individual's only means to speed up the process as it can get them out weeks earlier. A guilty plea is an automatic conviction. With bond, individuals can either go to trial or get deported without a conviction. ,Money donated will be used to post bond (ranging from $250-$2500) on a first come, first serve basis and will be going to individuals with no criminal history, limited criminal history (non violent offenses), currently being represented in the southern district of California.  ,When a trial is complete and the individual has made all court appearances, it is our hope that these bonds will be reinvested to the fund to be used to help another person awaiting trail. These federal cases can take up to 3 months to complete so we have set our goal accordingly to account for the fluctuating time frame while still ensuring funds to continue posting ponds. Time is of the essence and funds will be used as soon as they come in. ,Disclosures: ,As excess funds are available, they will be used to post bond for clients in neighboring districts. ,Posting bond does not guarantee that an individual will be granted relief/asylum/entry into the US. Our goal is just to provide the opportunity for them to ask for it. ,A portion of your donation will be used to pay for the fees associated with using a crowdsourcing website that allows immediate access to funds. GoFundMe currently charges 2.9% and $0.30 per donation. ,Additional fees include purchasing a money order (required form of bond payment) and printing/faxing/shipping of bond paperwork/money orders. ,At this time, any and all individuals helping with this campaign are doing so with volunteered time and are not paid out of this fund in any way. ,Thank you for your help! ,
                    ","
 of $25,000 goal","SAN DIEGO, CA",721,San Diego Immigrant Bond Campaign,"$24,615 "
,,,,,,,,
149,Volunteer,"Created May 24, 2018","

                        

,
                    ","
 of $17,280 goal","NEW YORK, NY",111,Houses for Homes Guatemala 2018,"$20,711 "
,,,,,,,,
354,Volunteer,"Created May 23, 2018","

                        All donations will go to the still in process “What Everett Takes Foundation.” Funds raised will help support NICU families, MLD research and causes related to Everett William Graft. ,Everett was born very sick on 4/17/18. He was deprived of oxygen and diagnosed with Hypoxic Ischemic Encephalopathy (HIE). Though the reasons that caused him to be sick at birth are not entirely clear, we, and his medical team, were worried about his breathing, how strong his heart was, how his kidneys would recover and many other parts of his body. We remained hopeful when much of his body initially recovered, but it became clear that his brain sustained severe injury that he would not recover from. This made it difficult for him to breathe without life support and unable to swallow or gag on his own. ,In addition, and unrelated to his birth injury, we had genetic testing done during the pregnancy and learned that we are both carriers of a recessive gene for a very rare and fatal neurological disorder, Metachromatic Leukodystrophy (MLD). We knew through amniocentesis that Everett received both of our genes and there was a good chance he would have the disease. But, because we knew about it early we were committed to monitoring him and pursuing early treatments to give him the best quality of life possible. Once Everett was born it was confirmed via testing that he did in fact inherit the disease, although we couldn’t be sure what form until symptoms developed. Due to his brain injury at birth we were told that it would be difficult to decipher whether symptoms he would exhibit would be a result of the genetic disorder or the birth injury and he would not be a candidate for any treatments that could help treat the disease in the future. ,Everett was loved and exceptionally cared for by the entire team at Prentice Hospital, who we worked with to support him while maximizing his comfort, which was our main goal for his care. We spent each of the 36 days we had with him soaking up every moment - snuggling, talking, reading, singing and loving on him. He passed away peacefully on 5/23/18 with us by his side. We let him know it was okay to let go and that we would all be okay. He is no longer sick or in pain and has changed our lives forever. He will live on through us and by helping others through this foundation.,Get to know Everett on instagram: @what_everett_takes
                    ","
 of $10,000 goal","CHICAGO, IL",764,What Everett Takes,"$43,036 "
,,,,,,,,
176,Volunteer,"Created July 9, 2018","

                        ,A musician's journey across the entire United States, playing music for people in need. The goal is to visit at least 1 hospital in all 50 states!  (Yes, including Hawaii and Alaska!) ,The tour will driven in an ambulance (Music Is Medicine painted on the sides ;)  and begin in August! ,Full tour is estimated to take at least 5 months. ,cost breakdown below, ,=============================,2 1/2 years ago, Ryan Brolliar, a professional musician from San Diego, CA, received news of a tumor in his spine. Ever since, his life has taken on a dramatic change. ,“My life has become less and less about me, and instead about how I can be of service to others."" Ryan says,  ""I feel like I’ve been given the gift of music, and it’s time to give it back."",Over the last 2 years, Ryan has visited and played music for over 40 different hospitals, senior care facilities, and hospice in California and Nevada. He now hopes to bring this same love and music to hospitals and people in need across the entire country! The more financial support the tour gets, the more hospitals and visits Ryan will be able to make!! ,Meet Ryan, hear more about his story, and become part of the journey by clicking on the link below:, ,Thank you for being part of the Music Is Medicine Tour and Team! We look forward to sharing this journey with you!,!! ️,￼￼,Again, the budget for the tour is around $40-$45,000 dollars. ANY FUNDS RAISED ON TOP OF THIS, WILL BE DONATED DIRECTLY BACK TO HOSPITALS!  LET'S GET TO AT LEAST $100,000!! ,Thank you for your support! See you on the road!!
                    ","
 of $100,000 goal","SAN DIEGO, CA",1.2k,"""Music Is Medicine"" Hospital Tour","$34,523 "
,,,,,,,,
415,Volunteer,"Created June 25, 2018","

                        ""Auntie"" Debra Davis serves the students of Hoover High School and the San Diego Community, by providing them meals, love, and kindness.  After ""work,"" she uses the little she has in her pocket to feed the homeless.  ,Learn more here, as told by CBS Sunday Morning:,
                    ","
 of $10,000 goal","SAN DIEGO, CA",1.3k,"""Auntie"" Debra Davis","$27,236 "
,,,,,,,,
